Table Name,State Code,Distt. Code,Area Name,Total/ Rural/ Urban,Age-group,Total Persons,Total Males,Total Females,Illiterate - Persons,Illiterate - Males,Illiterate - Females,Literate - Persons,Literate - Males,Literate - Females,Educational level - Literate without educational level - Persons,Educational level - Literate without educational level - Males,Educational level - Literate without educational level - Females,Educational level - Below Primary - Persons,Educational level - Below Primary - Males,Educational level - Below Primary - Females,Educational level - Primary - Persons,Educational level - Primary - Males,Educational level - Primary - Females,Educational level - Middle - Persons,Educational level - Middle - Males,Educational level - Middle - Females,Educational level - Matric/Secondary - Persons,Educational level - Matric/Secondary - Males,Educational level - Matric/Secondary - Females,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Persons,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Males,Educational level - Higher secondary/Intermediate/Pre-University/Senior secondary - Females,Educational level - Non-technical diploma or certificate not equal to degree - Persons,Educational level - Non-technical diploma or certificate not equal to degree - Males,Educational level - Non-technical diploma or certificate not equal to degree - Females,Educational level - Technical diploma or certificate not equal to degree - Persons,Educational level - Technical diploma or certificate not equal to degree - Males,Educational level - Technical diploma or certificate not equal to degree - Females,Educational level - Graduate & above - Persons,Educational level - Graduate & above - Males,Educational level - Graduate & above - Females,Educational level - Unclassified - Persons,Educational level - Unclassified - Males,Educational level - Unclassified - Females
C2508SC,01,000,State - JAMMU & KASHMIR,Total,15,20235,10641,9594,1594,580,1014,18641,10061,8580,124,60,64,507,262,245,4899,2721,2178,10053,5338,4715,3038,1670,1368,0,0,0,0,0,0,0,0,0,0,0,0,20,10,10
C2508SC,01,000,State - JAMMU & KASHMIR,Total,16,19815,10516,9299,1605,594,1011,18210,9922,8288,136,74,62,426,217,209,3248,1767,1481,8233,4501,3732,6145,3349,2796,0,0,0,0,0,0,0,0,0,0,0,0,22,14,8
C2508SC,01,000,State - JAMMU & KASHMIR,Total,17,18723,10063,8660,1452,565,887,17271,9498,7773,183,103,80,377,212,165,2324,1311,1013,6326,3542,2784,8039,4316,3723,0,0,0,0,0,0,0,0,0,0,0,0,22,14,8
C2508SC,01,000,State - JAMMU & KASHMIR,Total,18,21676,11549,10127,2232,880,1352,19444,10669,8775,251,140,111,452,266,186,2760,1563,1197,6480,3554,2926,6107,3401,2706,3315,1696,1619,5,5,0,54,33,21,0,0,0,20,11,9
C2508SC,01,000,State - JAMMU & KASHMIR,Total,19,17114,9011,8103,1781,635,1146,15333,8376,6957,232,123,109,368,237,131,1949,1130,819,4598,2499,2099,4497,2526,1971,3576,1788,1788,6,3,3,88,61,27,0,0,0,19,9,10
C2508SC,01,000,State - JAMMU & KASHMIR,Total,20-24,92420,47508,44912,13595,4760,8835,78825,42748,36077,1604,855,749,1862,1202,660,10898,6191,4707,24477,13200,11277,19618,11148,8470,15424,7724,7700,30,20,10,539,380,159,4275,1982,2293,98,46,52
C2508SC,01,000,State - JAMMU & KASHMIR,Total,25-29,83640,42957,40683,17536,5963,11573,66104,36994,29110,1838,1012,826,1867,1165,702,10696,5925,4771,23344,12841,10503,14633,8598,6035,8325,4602,3723,24,16,8,300,223,77,4958,2546,2412,119,66,53
C2508SC,01,000,State - JAMMU & KASHMIR,Total,30-34,69638,36243,33395,19454,6438,13016,50184,29805,20379,1470,804,666,1788,1117,671,9763,5265,4498,18495,11126,7369,10350,6424,3926,4696,2849,1847,10,6,4,148,109,39,3356,2051,1305,108,54,54
C2508SC,01,000,State - JAMMU & KASHMIR,Total,35-39,64334,33265,31069,23418,7856,15562,40916,25409,15507,1333,737,596,1696,1036,660,9326,5033,4293,14923,9565,5358,8562,5692,2870,2833,1881,952,7,5,2,94,77,17,2013,1315,698,129,68,61
C2508SC,01,000,State - JAMMU & KASHMIR,Total,40-44,53282,28065,25217,24236,8486,15750,29046,19579,9467,1081,650,431,1415,856,559,6660,3724,2936,9833,6946,2887,6572,4865,1707,1817,1337,480,4,3,1,69,53,16,1470,1088,382,125,57,68
C2508SC,01,000,State - JAMMU & KASHMIR,Total,45-49,46617,24660,21957,23862,8427,15435,22755,16233,6522,954,537,417,1232,796,436,5894,3498,2396,7126,5477,1649,5059,3969,1090,1013,801,212,5,3,2,64,59,5,1288,1035,253,120,58,62
C2508SC,01,000,State - JAMMU & KASHMIR,Total,50-54,36144,19400,16744,20472,7376,13096,15672,12024,3648,695,411,284,861,601,260,4025,2652,1373,4897,4046,851,3675,3086,589,539,432,107,1,0,1,60,53,7,816,691,125,103,52,51
C2508SC,01,000,State - JAMMU & KASHMIR,Total,55-59,25938,13615,12323,15785,5506,10279,10153,8109,2044,458,282,176,628,427,201,2559,1783,776,2842,2415,427,2552,2238,314,401,364,37,4,3,1,21,21,0,609,541,68,79,35,44
C2508SC,01,000,State - JAMMU & KASHMIR,Total,60-64,24610,12810,11800,17319,6763,10556,7291,6047,1244,470,261,209,599,456,143,2196,1716,480,1896,1697,199,1525,1408,117,188,168,20,0,0,0,15,14,1,311,289,22,91,38,53
C2508SC,01,000,State - JAMMU & KASHMIR,Total,65-69,15396,7972,7424,11454,4649,6805,3942,3323,619,321,177,144,352,279,73,1174,997,177,989,868,121,764,710,54,105,97,8,1,1,0,5,4,1,176,164,12,55,26,29
C2508SC,01,000,State - JAMMU & KASHMIR,Total,70-74,13461,6833,6628,11309,5020,6289,2152,1813,339,259,143,116,263,216,47,738,672,66,409,363,46,300,278,22,49,42,7,0,0,0,2,2,0,71,65,6,61,32,29
C2508SC,01,000,State - JAMMU & KASHMIR,Total,75-79,6611,3334,3277,5650,2576,3074,961,758,203,166,84,82,122,103,19,324,282,42,190,161,29,87,80,7,13,11,2,0,0,0,2,1,1,22,18,4,35,18,17
C2508SC,01,000,State - JAMMU & KASHMIR,Total,80+,10616,5332,5284,9058,4188,4870,1558,1144,414,251,135,116,202,165,37,460,380,80,335,245,90,173,133,40,54,36,18,0,0,0,4,4,0,23,16,7,56,30,26
C2508SC,01,000,State - JAMMU & KASHMIR,Total,Age not stated,642,377,265,213,109,104,429,268,161,115,80,35,56,31,25,76,40,36,78,50,28,62,44,18,26,14,12,0,0,0,1,0,1,12,7,5,3,2,1
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,All ages,751026,392981,358045,311854,134004,177850,439172,258977,180195,9581,5288,4293,70275,39638,30637,109801,62383,47418,129918,78643,51275,76583,48081,28502,29915,16826,13089,67,48,19,796,610,186,10904,6766,4138,1332,694,638
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,0-6,107719,57871,49848,107719,57871,49848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,7,16095,8610,7485,4348,2193,2155,11747,6417,5330,165,100,65,11487,6263,5224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,54,41
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,8,16230,8671,7559,2169,1040,1129,14061,7631,6430,84,42,42,13910,7549,6361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,40,27
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,9,14708,7985,6723,1325,562,763,13383,7423,5960,62,38,24,12141,6715,5426,1159,658,501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,9
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,10,16750,9016,7734,1523,695,828,15227,8321,6906,75,39,36,10672,5918,4754,4448,2347,2101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,15
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,11,16484,8690,7794,1168,467,701,15316,8223,7093,57,34,23,5548,3052,2496,9686,5126,4560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,11,14
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,12,17519,9220,8299,1226,460,766,16293,8760,7533,70,38,32,2657,1382,1275,12228,6617,5611,1311,707,604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16,11
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,13,16900,8920,7980,1163,429,734,15737,8491,7246,71,39,32,1085,564,521,10676,5822,4854,3882,2055,1827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,11,12
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,14,16619,8784,7835,1176,411,765,15443,8373,7070,82,36,46,666,345,321,6766,3743,3023,7907,4240,3667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,9,13
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,15,16695,8761,7934,1424,498,926,15271,8263,7008,101,48,53,423,219,204,4017,2226,1791,8246,4384,3862,2465,1376,1089,0,0,0,0,0,0,0,0,0,0,0,0,19,10,9
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,16,16253,8548,7705,1427,514,913,14826,8034,6792,113,64,49,352,168,184,2713,1465,1248,6754,3679,3075,4875,2645,2230,0,0,0,0,0,0,0,0,0,0,0,0,19,13,6
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,17,15232,8170,7062,1280,481,799,13952,7689,6263,153,85,68,323,181,142,1932,1067,865,5249,2951,2298,6276,3393,2883,0,0,0,0,0,0,0,0,0,0,0,0,19,12,7
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,18,17474,9310,8164,1974,756,1218,15500,8554,6946,207,115,92,380,222,158,2274,1280,994,5372,2982,2390,4803,2683,2120,2407,1238,1169,3,3,0,36,22,14,0,0,0,18,9,9
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,19,13748,7264,6484,1591,555,1036,12157,6709,5448,186,96,90,296,187,109,1614,934,680,3777,2062,1715,3639,2086,1553,2579,1301,1278,5,3,2,45,32,13,0,0,0,16,8,8
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,20-24,73987,37897,36090,12070,4118,7952,61917,33779,28138,1290,677,613,1541,987,554,9024,5104,3920,20215,10935,9280,15612,8911,6701,11362,5745,5617,25,16,9,320,242,78,2446,1125,1321,82,37,45
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,25-29,66013,33393,32620,15492,5202,10290,50521,28191,22330,1303,679,624,1573,985,588,8872,4935,3937,18888,10453,8435,10964,6341,4623,5845,3171,2674,16,12,4,158,115,43,2808,1448,1360,94,52,42
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,30-34,55486,28543,26943,16877,5537,11340,38609,23006,15603,1108,590,518,1455,943,512,8054,4385,3669,14979,9142,5837,7550,4592,2958,3278,1983,1295,6,5,1,85,64,21,2007,1255,752,87,47,40
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,35-39,50679,26154,24525,19801,6642,13159,30878,19512,11366,955,527,428,1329,826,503,7510,4113,3397,11735,7710,4025,6095,4094,2001,1908,1326,582,6,4,2,47,38,9,1186,816,370,107,58,49
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,40-44,41584,21699,19885,20341,7149,13192,21243,14550,6693,770,451,319,1093,676,417,5251,2970,2281,7553,5475,2078,4438,3345,1093,1176,891,285,1,1,0,36,31,5,830,665,165,95,45,50
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,45-49,36338,18976,17362,20030,7102,12928,16308,11874,4434,696,386,310,931,616,315,4541,2709,1832,5324,4215,1109,3451,2815,636,572,481,91,3,2,1,32,30,2,672,578,94,86,42,44
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,50-54,28656,15256,13400,17357,6300,11057,11299,8956,2343,504,306,198,676,488,188,3092,2094,998,3676,3149,527,2566,2251,315,301,257,44,0,0,0,19,18,1,383,350,33,82,43,39
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,55-59,20746,10784,9962,13444,4778,8666,7302,6006,1296,333,209,124,492,347,145,1999,1450,549,2129,1883,246,1763,1601,162,234,222,12,1,1,0,9,9,0,276,256,20,66,28,38
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,60-64,20233,10524,9709,14772,5871,8901,5461,4653,808,356,204,152,477,376,101,1758,1413,345,1435,1324,111,1109,1061,48,105,99,6,0,0,0,5,5,0,147,139,8,69,32,37
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,65-69,12599,6572,6027,9715,4059,5656,2884,2513,371,253,144,109,264,220,44,936,829,107,717,663,54,530,501,29,57,52,5,1,1,0,1,1,0,82,79,3,43,23,20
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,70-74,11240,5732,5508,9625,4345,5280,1615,1387,228,188,110,78,204,174,30,581,534,47,321,290,31,214,200,14,26,21,5,0,0,0,0,0,0,35,33,2,46,25,21
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,75-79,5494,2761,2733,4792,2192,2600,702,569,133,113,62,51,95,77,18,253,228,25,138,121,17,56,51,5,5,4,1,0,0,0,0,0,0,11,9,2,31,17,14
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,80+,8999,4559,4440,7838,3682,4156,1161,877,284,190,106,84,158,133,25,357,305,52,241,177,64,126,101,25,36,23,13,0,0,0,3,3,0,12,8,4,38,21,17
C2508SC,01,000,State - JAMMU & KASHMIR,Rural,Age not stated,546,311,235,187,95,92,359,216,143,96,63,33,47,25,22,60,29,31,69,46,23,51,34,17,24,12,12,0,0,0,0,0,0,9,5,4,3,2,1
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,All ages,173965,93251,80714,53033,22747,30286,120932,70504,50428,3205,1857,1348,15482,8735,6747,23861,13251,10610,31240,18105,13135,25175,15854,9321,12459,7016,5443,30,17,13,670,484,186,8496,5042,3454,314,143,171
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,0-6,18998,10204,8794,18998,10204,8794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,7,3129,1697,1432,620,329,291,2509,1368,1141,40,30,10,2453,1327,1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,5
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,8,3209,1776,1433,285,145,140,2924,1631,1293,19,14,5,2892,1608,1284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,9,2874,1565,1309,203,102,101,2671,1463,1208,23,15,8,2455,1341,1114,188,105,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,10,3501,1907,1594,301,154,147,3200,1753,1447,22,13,9,2404,1352,1052,768,386,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,4
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,11,3299,1817,1482,171,92,79,3128,1725,1403,17,13,4,1316,763,553,1791,949,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,12,3320,1789,1531,168,89,79,3152,1700,1452,23,12,11,598,330,268,2310,1246,1064,220,111,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,13,3334,1748,1586,130,60,70,3204,1688,1516,17,6,11,262,136,126,2235,1190,1045,689,356,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,14,3391,1811,1580,169,77,92,3222,1734,1488,18,8,10,138,84,54,1438,795,643,1625,845,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,15,3540,1880,1660,170,82,88,3370,1798,1572,23,12,11,84,43,41,882,495,387,1807,954,853,573,294,279,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,16,3562,1968,1594,178,80,98,3384,1888,1496,23,10,13,74,49,25,535,302,233,1479,822,657,1270,704,566,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,17,3491,1893,1598,172,84,88,3319,1809,1510,30,18,12,54,31,23,392,244,148,1077,591,486,1763,923,840,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,18,4202,2239,1963,258,124,134,3944,2115,1829,44,25,19,72,44,28,486,283,203,1108,572,536,1304,718,586,908,458,450,2,2,0,18,11,7,0,0,0,2,2,0
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,19,3366,1747,1619,190,80,110,3176,1667,1509,46,27,19,72,50,22,335,196,139,821,437,384,858,440,418,997,487,510,1,0,1,43,29,14,0,0,0,3,1,2
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,20-24,18433,9611,8822,1525,642,883,16908,8969,7939,314,178,136,321,215,106,1874,1087,787,4262,2265,1997,4006,2237,1769,4062,1979,2083,5,4,1,219,138,81,1829,857,972,16,9,7
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,25-29,17627,9564,8063,2044,761,1283,15583,8803,6780,535,333,202,294,180,114,1824,990,834,4456,2388,2068,3669,2257,1412,2480,1431,1049,8,4,4,142,108,34,2150,1098,1052,25,14,11
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,30-34,14152,7700,6452,2577,901,1676,11575,6799,4776,362,214,148,333,174,159,1709,880,829,3516,1984,1532,2800,1832,968,1418,866,552,4,1,3,63,45,18,1349,796,553,21,7,14
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,35-39,13655,7111,6544,3617,1214,2403,10038,5897,4141,378,210,168,367,210,157,1816,920,896,3188,1855,1333,2467,1598,869,925,555,370,1,1,0,47,39,8,827,499,328,22,10,12
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,40-44,11698,6366,5332,3895,1337,2558,7803,5029,2774,311,199,112,322,180,142,1409,754,655,2280,1471,809,2134,1520,614,641,446,195,3,2,1,33,22,11,640,423,217,30,12,18
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,45-49,10279,5684,4595,3832,1325,2507,6447,4359,2088,258,151,107,301,180,121,1353,789,564,1802,1262,540,1608,1154,454,441,320,121,2,1,1,32,29,3,616,457,159,34,16,18
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,50-54,7488,4144,3344,3115,1076,2039,4373,3068,1305,191,105,86,185,113,72,933,558,375,1221,897,324,1109,835,274,238,175,63,1,0,1,41,35,6,433,341,92,21,9,12
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,55-59,5192,2831,2361,2341,728,1613,2851,2103,748,125,73,52,136,80,56,560,333,227,713,532,181,789,637,152,167,142,25,3,2,1,12,12,0,333,285,48,13,7,6
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,60-64,4377,2286,2091,2547,892,1655,1830,1394,436,114,57,57,122,80,42,438,303,135,461,373,88,416,347,69,83,69,14,0,0,0,10,9,1,164,150,14,22,6,16
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,65-69,2797,1400,1397,1739,590,1149,1058,810,248,68,33,35,88,59,29,238,168,70,272,205,67,234,209,25,48,45,3,0,0,0,4,3,1,94,85,9,12,3,9
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,70-74,2221,1101,1120,1684,675,1009,537,426,111,71,33,38,59,42,17,157,138,19,88,73,15,86,78,8,23,21,2,0,0,0,2,2,0,36,32,4,15,7,8
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,75-79,1117,573,544,858,384,474,259,189,70,53,22,31,27,26,1,71,54,17,52,40,12,31,29,2,8,7,1,0,0,0,2,1,1,11,9,2,4,1,3
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,80+,1617,773,844,1220,506,714,397,267,130,61,29,32,44,32,12,103,75,28,94,68,26,47,32,15,18,13,5,0,0,0,1,1,0,11,8,3,18,9,9
C2508SC,01,000,State - JAMMU & KASHMIR,Urban,Age not stated,96,66,30,26,14,12,70,52,18,19,17,2,9,6,3,16,11,5,9,4,5,11,10,1,2,2,0,0,0,0,1,0,1,3,2,1,0,0,0
C2508SC,02,000,State - HIMACHAL PRADESH,Total,All ages,1729252,876300,852952,535640,217401,318239,1193612,658899,534713,30334,15058,15276,182369,97578,84791,342028,177345,164683,215514,119701,95813,234887,139063,95824,122690,70322,52368,1167,730,437,8517,6154,2363,53509,31806,21703,2597,1142,1455
C2508SC,02,000,State - HIMACHAL PRADESH,Total,0-6,216851,112200,104651,216851,112200,104651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2508SC,02,000,State - HIMACHAL PRADESH,Total,7,33574,17224,16350,5555,2794,2761,28019,14430,13589,286,174,112,27605,14194,13411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,62,66
C2508SC,02,000,State - HIMACHAL PRADESH,Total,8,32224,16571,15653,1843,883,960,30381,15688,14693,178,96,82,30139,15559,14580,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,33,31
C2508SC,02,000,State - HIMACHAL PRADESH,Total,9,32648,17036,15612,1352,659,693,31296,16377,14919,177,91,86,27647,14474,13173,3426,1787,1639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,25,21
C2508SC,02,000,State - HIMACHAL PRADESH,Total,10,36902,19171,17731,1714,882,832,35188,18289,16899,153,87,66,19948,10396,9552,15043,7781,7262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,25,19
C2508SC,02,000,State - HIMACHAL PRADESH,Total,11,34646,17990,16656,1009,492,517,33637,17498,16139,191,106,85,7585,4002,3583,25827,13377,12450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,13,21
C2508SC,02,000,State - HIMACHAL PRADESH,Total,12,34187,17748,16439,749,353,396,33438,17395,16043,172,83,89,2657,1420,1237,28053,14602,13451,2526,1275,1251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,15
C2508SC,02,000,State - HIMACHAL PRADESH,Total,13,33535,17301,16234,704,336,368,32831,16965,15866,175,94,81,1240,654,586,21370,11154,10216,10018,5049,4969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,14,14
C2508SC,02,000,State - HIMACHAL PRADESH,Total,14,34174,17373,16801,750,316,434,33424,17057,16367,153,86,67,699,360,339,12726,6655,6071,19821,9944,9877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12,13
C2508SC,02,000,State - HIMACHAL PRADESH,Total,15,34014,17636,16378,880,411,469,33134,17225,15909,235,115,120,599,302,297,7426,4008,3418,19057,9870,9187,5785,2913,2872,0,0,0,0,0,0,0,0,0,0,0,0,32,17,15
C2508SC,02,000,State - HIMACHAL PRADESH,Total,16,33563,17478,16085,813,386,427,32750,17092,15658,274,139,135,573,291,282,5396,2870,2526,13009,6924,6085,13475,6859,6616,0,0,0,0,0,0,0,0,0,0,0,0,23,9,14
C2508SC,02,000,State - HIMACHAL PRADESH,Total,17,32825,17085,15740,800,342,458,32025,16743,15282,326,171,155,573,317,256,4497,2416,2081,8269,4464,3805,18332,9364,8968,0,0,0,0,0,0,0,0,0,0,0,0,28,11,17
C2508SC,02,000,State - HIMACHAL PRADESH,Total,18,35972,18749,17223,1131,482,649,34841,18267,16574,489,275,214,750,408,342,5205,2709,2496,6521,3501,3020,12758,6834,5924,8701,4260,4441,13,10,3,376,254,122,0,0,0,28,16,12
C2508SC,02,000,State - HIMACHAL PRADESH,Total,19,32636,16531,16105,1057,398,659,31579,16133,15446,563,292,271,655,324,331,4700,2405,2295,4834,2531,2303,9405,4915,4490,10813,5278,5535,18,10,8,570,371,199,0,0,0,21,7,14
